year,month,weat_ret,weat_price,month_end,signal,decay,signal_decayed,position,pos_chg,gross_ret,net_ret,cum_net,cum_bh,prev_pos,trade
2017,2,0.023976364035177333,7.346047368421053,2017-02-28,0.5,0.8705505632961241,0.43527528164806206,0.43527528164806206,0.06472471835193794,0.011988182017588667,0.01192345729923673,116576.93750410354,32353.380437964603,0.5,True
2017,3,-0.04407687578746866,7.104991304347827,2017-03-31,0.5,0.7578582832551991,0.37892914162759955,0.37892914162759955,0.05634614002046251,-0.019185574522557067,-0.01924192066257753,114333.77332156332,30927.344507095717,0.43527528164806206,True
2017,4,-0.020174098340909108,6.854121052631578,2017-04-28,0.5,0.6597539553864472,0.3298769776932236,0.3298769776932236,0.04905216393437595,-0.007644553767431468,-0.007693605931365844,113454.1343249811,30303.413217586396,0.37892914162759955,True
2017,5,-0.0003681127779753268,6.877386363636364,2017-05-31,0.5,0.5743491774985175,0.2871745887492588,0.2871745887492588,0.04270238894396483,-0.00012143193064875746,-0.0001641343195927223,113435.51260783868,30292.258143964733,0.3298769776932236,True
2017,6,0.15189384625090296,7.103818181818181,2017-06-30,0.5,0.5,0.25,0.25,0.037174588749258775,0.0436200528306462,0.04358287824189694,118379.35874213328,34893.46574507678,0.2871745887492588,True
2017,7,-0.06641192016080388,7.737350000000001,2017-07-31,0.5,0.4352752816480621,0.21763764082403106,0.0,0.25,-0.01660298004020097,-0.01685298004020097,116384.31377208032,32576.123683880996,0.25,True
2017,8,-0.1162803381427655,6.746739130434783,2017-08-31,0.5,0.37892914162759955,0.18946457081379978,0.0,0.0,-0.0,-0.0,116384.31377208032,28788.161006538765,0.0,False
2017,9,0.018575381548969094,6.57183,2017-09-29,0.5,0.3298769776932236,0.1649384888466118,0.0,0.0,0.0,0.0,116384.31377208032,29322.912081328377,0.0,False
2017,10,-0.05774954987840775,6.406731818181819,2017-10-31,0.5,0.2871745887492588,0.1435872943746294,0.0,0.0,-0.0,-0.0,116384.31377208032,27629.52710750754,0.0,False
2017,11,-0.01798380199148608,6.1992,2017-11-30,0.5,0.25,0.125,0.0,0.0,-0.0,-0.0,116384.31377208032,27132.643162887725,0.0,False
2017,12,-0.014537267670047371,5.956935,2017-12-29,0.5,0.21763764082403103,0.10881882041201552,0.0,0.0,-0.0,-0.0,116384.31377208032,26738.208666632945,0.0,False
2018,1,0.053332649224135276,6.071233333333334,2018-01-31,0.5,1.0,0.5,0.5,0.5,0.0,-0.0005,116326.1216151943,28164.22817033221,0.0,True
2018,2,0.05538135905776054,6.379736842105263,2018-02-28,0.5,0.8705505632961241,0.43527528164806206,0.43527528164806206,0.06472471835193794,0.02769067952888027,0.02762595481052833,119539.74179421969,29724.001403218077,0.5,True
2018,3,-0.07046736055506297,6.5009571428571435,2018-03-29,0.5,0.7578582832551991,0.37892914162759955,0.37892914162759955,0.05634614002046251,-0.030672700212600577,-0.03072904635262104,115866.39952764475,27629.42947919831,0.43527528164806206,True
2018,4,0.08387157238222742,6.443695238095238,2018-04-30,0.5,0.6597539553864472,0.3298769776932236,0.3298769776932236,0.04905216393437595,0.03178138292975452,0.031732330765820146,119543.11044210065,29946.753173642537,0.37892914162759955,True
2018,5,0.02083260268652931,6.791954545454545,2018-05-31,0.5,0.5743491774985175,0.2871745887492588,0.2871745887492588,0.04270238894396483,0.006872196011716019,0.006829493622772054,120359.52935251128,30570.621984260593,0.3298769776932236,True
2018,6,-0.06997153223342023,6.570285714285714,2018-06-29,0.5,0.5,0.25,0.25,0.037174588749258775,-0.02009404599328796,-0.02013122058203722,117936.5451179657,28431.548722693195,0.2871745887492588,True
2018,7,0.08777709631778907,6.43572380952381,2018-07-31,0.5,0.4352752816480621,0.21763764082403106,0.0,0.25,0.021944274079447268,0.021694274079447268,120495.09285173794,30927.187513388948,0.25,True
2018,8,-0.03890517161020823,6.820252173913044,2018-08-31,0.5,0.37892914162759955,0.18946457081379978,0.0,0.0,-0.0,-0.0,120495.09285173794,29723.959975759462,0.0,False
2018,9,-0.06296872101285267,6.347368421052631,2018-09-28,0.5,0.3298769776932236,0.1649384888466118,0.0,0.0,-0.0,-0.0,120495.09285173794,27852.280232648664,0.0,False
2018,10,-0.017600197274640128,6.293378260869566,2018-10-31,0.5,0.2871745887492588,0.1435872943746294,0.0,0.0,-0.0,-0.0,120495.09285173794,27362.074606005488,0.0,False
2018,11,-0.01140201385641082,6.082147619047619,2018-11-30,0.5,0.25,0.125,0.0,0.0,-0.0,-0.0,120495.09285173794,27050.091852207664,0.0,False
2018,12,-0.0230617917541035,6.119357894736842,2018-12-31,0.5,0.21763764082403103,0.10881882041201552,0.0,0.0,-0.0,-0.0,120495.09285173794,26426.26826698268,0.0,False
2019,1,0.020320462832774888,6.060023809523809,2019-01-31,0.229,1.0,0.229,0.0,0.0,0.0,0.0,120495.09285173794,26963.262269110837,0.0,False
2019,2,-0.11247274720898204,5.820973684210526,2019-02-28,0.229,0.8705505632961241,0.19935607899481242,0.0,0.0,-0.0,-0.0,120495.09285173794,23930.63008798765,0.0,False
2019,3,-0.014899006272042548,5.309142857142858,2019-03-29,0.229,0.7578582832551991,0.1735495468654406,0.0,0.0,-0.0,-0.0,120495.09285173794,23574.087480212795,0.0,False
2019,4,-0.06616243157452228,5.214761904761905,2019-04-30,0.229,0.6597539553864472,0.15108365578349642,0.0,0.0,-0.0,-0.0,120495.09285173794,22014.368530371412,0.0,False
2019,5,0.1406876458685804,5.2272727272727275,2019-05-31,0.229,0.5743491774985175,0.13152596164716052,0.0,0.0,0.0,0.0,120495.09285173794,25111.518214192725,0.0,False
2019,6,0.016859337025643573,5.786,2019-06-28,0.229,0.5,0.1145,0.0,0.0,0.0,0.0,120495.09285173794,25534.881762991386,0.0,False
2019,7,-0.07329778035788337,5.530445454545454,2019-07-31,0.229,0.4352752816480621,0.09967803949740622,0.0,0.0,-0.0,-0.0,120495.09285173794,23663.23160806312,0.0,False
2019,8,-0.0659121526382982,5.153863636363637,2019-08-30,0.229,0.37892914162759955,0.0867747734327203,0.0,0.0,-0.0,-0.0,120495.09285173794,22103.537074397063,0.0,False
2019,9,0.06854974569212247,5.141605,2019-09-30,0.229,0.3298769776932236,0.07554182789174821,0.0,0.0,0.0,0.0,120495.09285173794,23618.728919743382,0.0,False
2019,10,0.024529789730433738,5.425434782608695,2019-10-31,0.229,0.2871745887492588,0.06576298082358026,0.0,0.0,0.0,0.0,120495.09285173794,24198.091373844803,0.0,False
2019,11,0.04383088316287731,5.4658999999999995,2019-11-29,0.229,0.25,0.05725,0.0,0.0,0.0,0.0,120495.09285173794,25258.715089616424,0.0,False
2019,12,0.032112032440877236,5.643642857142858,2019-12-31,0.229,0.21763764082403103,0.049839019748703105,0.0,0.0,0.0,0.0,120495.09285173794,26069.823767989063,0.0,False
2020,1,-0.022222432647215573,5.867142857142857,2020-01-31,0.275,1.0,0.275,0.275,0.275,-0.0,-0.000275,120461.9567012037,25490.48886518015,0.0,True
2020,2,-0.05070191055837969,5.6684210526315795,2020-02-28,0.275,0.8705505632961241,0.23940140490643416,0.0,0.275,-0.013943025403554417,-0.014218025403554416,118749.22554066412,24198.072378648412,0.275,True
2020,3,0.06814142722617422,5.466363636363637,2020-03-31,0.275,0.7578582832551991,0.20841102789517976,0.0,0.0,0.0,0.0,118749.22554066412,25846.963566651782,0.0,False
2020,4,-0.07586359924230546,5.555014285714286,2020-04-30,0.275,0.6597539553864472,0.18143233773127299,0.0,0.0,-0.0,-0.0,118749.22554066412,23886.119881000843,0.0,False
2020,5,-0.001868568335579579,5.25414,2020-05-29,0.275,0.5743491774985175,0.15794602381209233,0.0,0.0,-0.0,-0.0,118749.22554066412,23841.487033731344,0.0,False
2020,6,-0.05420636274464552,5.141159090909091,2020-06-30,0.275,0.5,0.1375,0.0,0.0,-0.0,-0.0,118749.22554066412,22549.12673920914,0.0,False
2020,7,0.06917067712632363,5.3125,2020-07-31,0.275,0.4352752816480621,0.1197007024532171,0.0,0.0,0.0,0.0,118749.22554066412,24108.865104367527,0.0,False
2020,8,0.020333162508064495,5.259761904761905,2020-08-31,0.275,0.37892914162759955,0.10420551394758988,0.0,0.0,0.0,0.0,118749.22554066412,24599.07457641964,0.0,False
2020,9,0.03441968701250975,5.5216666666666665,2020-09-30,0.275,0.3298769776932236,0.09071616886563649,0.0,0.0,0.0,0.0,118749.22554066412,25445.76702413739,0.0,False
2020,10,0.017512343803035568,5.905909090909091,2020-10-30,0.275,0.2871745887492588,0.07897301190604616,0.0,0.0,0.0,0.0,118749.22554066412,25891.38204459603,0.0,False
2020,11,-0.015489688224437304,5.89125,2020-11-30,0.275,0.25,0.06875,0.0,0.0,-0.0,-0.0,118749.22554066412,25490.33260902544,0.0,False
2020,12,0.08216789494406718,5.857272727272728,2020-12-31,0.275,0.21763764082403103,0.05985035122660854,0.0,0.0,0.0,0.0,118749.22554066412,27584.819580933174,0.0,False
2021,1,0.017770048350752576,6.280263157894737,2021-01-29,0.694,1.0,0.694,0.694,0.694,0.0,-0.000694,118666.81357813891,28075.003158633142,0.0,True
2021,2,-0.0015882373398518057,6.274152631578947,2021-02-26,0.694,0.8705505632961241,0.60416209092751,0.60416209092751,0.0898379090724899,-0.001102236713857153,-0.001192074622929643,118525.35388108846,28030.413390300146,0.694,True
2021,3,-0.044516608745815756,6.11695652173913,2021-03-31,0.694,0.7578582832551991,0.5259536485791081,0.5259536485791081,0.07820844234840196,-0.026895247420873927,-0.026973455863222327,115328.31547950413,26782.594444420683,0.60416209092751,True
2021,4,0.18136728006830083,6.473571428571428,2021-04-30,0.694,0.6597539553864472,0.4578692450381943,0.4578692450381943,0.06808440354091377,0.09539078268479177,0.09532269828125085,126321.72169924183,31640.080751977646,0.5259536485791081,True
2021,5,-0.07042170466370656,6.856999999999999,2021-05-28,0.694,0.5743491774985175,0.39859832918397115,0.39859832918397115,0.05927091585422317,-0.032243932748674015,-0.03230320366452824,122241.12539593737,29411.93232972605,0.4578692450381943,True
2021,6,0.025756584935981097,6.665454545454545,2021-06-30,0.694,0.5,0.347,0.347,0.05159832918397117,0.010266531720967106,0.010214933391783134,123489.81034959348,30169.483262907965,0.39859832918397115,True
2021,7,0.020680069796897182,6.626428571428572,2021-07-30,0.694,0.4352752816480621,0.3020810454637551,0.3020810454637551,0.04491895453624489,0.007175984219523322,0.007131065264987077,124370.42424675728,30793.39028252122,0.347,True
2021,8,0.024602328871644596,7.167727272727273,2021-08-31,0.694,0.37892914162759955,0.26297682428955405,0.26297682428955405,0.03910422117420104,0.007431897226389526,0.007392793005215325,125289.86904918437,31550.979397324714,0.3020810454637551,True
2021,9,-8.59179090317852e-07,6.917142857142856,2021-09-30,0.694,0.3298769776932236,0.22893462251909716,0.0,0.26297682428955405,-2.2594418866777666e-07,-0.0002632027684782218,125256.89240878835,31550.952289382938,0.26297682428955405,True
2021,10,0.06355790581451615,7.286180952380953,2021-10-29,0.694,0.2871745887492588,0.19929916459198557,0.0,0.0,0.0,0.0,125256.89240878835,33556.264743349835,0.0,False
2021,11,0.006641780192389257,7.859047619047619,2021-11-30,0.694,0.25,0.1735,0.0,0.0,0.0,0.0,125256.89240878835,33779.13807785278,0.0,False
2021,12,-0.025065990292687412,7.585545454545454,2021-12-31,0.694,0.21763764082403103,0.1510405227318775,0.0,0.0,-0.0,-0.0,125256.89240878835,32932.43053069797,0.0,False
2022,1,-0.010823638025034166,7.401999999999999,2022-01-31,0.428,1.0,0.428,0.428,0.428,-0.0,-0.000428,125203.28245883738,32575.981823349113,0.0,True
2022,2,0.20930348396710197,7.7563157894736845,2022-02-28,0.428,0.8705505632961241,0.3725956410907411,0.3725956410907411,0.05540435890925888,0.08958189113791964,0.08952648677901039,136412.2924705772,39394.24831262507,0.428,True
2022,3,0.11538398681909534,10.386086956521739,2022-03-31,0.428,0.7578582832551991,0.3243633452332252,0.3243633452332252,0.04823229585751593,0.04299157054046645,0.042943338244608935,142270.29168686373,43939.71374067717,0.3725956410907411,True
2022,4,0.056794355733047475,10.6395,2022-04-29,0.428,0.6597539553864472,0.2823746929053994,0.2823746929053994,0.04198865232782578,0.01842200721593708,0.018380018563609254,144885.22228911836,46435.241473673464,0.3243633452332252,True
2022,5,0.052781153215347265,11.35,2022-05-31,0.428,0.5743491774985175,0.2458214479693655,0.0,0.2823746929053994,0.014904061930376519,0.014621687237471119,147003.68869476134,48886.14706848707,0.2823746929053994,True
2022,6,-0.17593685841793105,10.380476190476191,2022-06-30,0.428,0.5,0.214,0.0,0.0,-0.0,-0.0,147003.68869476134,40285.27193310051,0.0,False
2022,7,-0.06415988910989534,8.372,2022-07-29,0.428,0.4352752816480621,0.18629782054537058,0.0,0.0,-0.0,-0.0,147003.68869476134,37700.5733531108,0.0,False
2022,8,0.00945885244924427,8.229565217391304,2022-08-31,0.428,0.37892914162759955,0.1621816726166126,0.0,0.0,0.0,0.0,147003.68869476134,38057.17751370979,0.0,False
2022,9,0.07142747438609698,8.731904761904762,2022-09-30,0.428,0.3298769776932236,0.1411873464526997,0.0,0.0,0.0,0.0,147003.68869476134,40775.505585777435,0.0,False
2022,10,-0.018581329446899608,8.837142857142858,2022-10-31,0.428,0.2871745887492588,0.12291072398468275,0.0,0.0,-0.0,-0.0,147003.68869476134,40017.84248312421,0.0,False
2022,11,-0.10467605415121906,8.379523809523809,2022-11-30,0.428,0.25,0.107,0.0,0.0,-0.0,-0.0,147003.68869476134,35828.93263634574,0.0,False
2022,12,-0.0074652180479771735,7.674761904761904,2022-12-30,0.428,0.21763764082403103,0.09314891027268528,0.0,0.0,-0.0,-0.0,147003.68869476134,35561.46184178913,0.0,False
2023,1,-0.032583228150952714,7.536499999999999,2023-01-31,-0.486,1.0,-0.486,-0.486,0.486,-0.0,-0.000486,146932.24490205568,34402.75461721672,0.0,True
2023,2,-0.07383431510461291,7.666842105263157,2023-02-28,-0.486,0.8705505632961241,-0.4230875737619163,-0.4230875737619163,0.06291242623808369,0.03588347714084188,0.03582056471460379,152195.44088923177,31862.65079234246,-0.486,True
2023,3,-0.012587601722269248,7.027826086956521,2023-03-31,-0.486,0.7578582832551991,-0.36831912566202674,-0.36831912566202674,0.054768448099889566,0.0053256578721562154,0.005270889424056326,152997.6462290044,31461.576434352704,-0.4230875737619163,True
2023,4,-0.09631747955615055,6.816315789473684,2023-04-28,-0.486,0.6597539553864472,-0.3206404223178133,-0.3206404223178133,0.047678703344213424,0.03547556985609151,0.0354278911527473,158418.0301862321,28431.27668933267,-0.36831912566202674,True
2023,5,-0.05015807792887517,6.3109090909090915,2023-05-31,-0.486,0.5743491774985175,-0.2791337002642795,-0.2791337002642795,0.041506722053533784,0.016082707289764325,0.01604120056771079,160959.24558199113,27005.218497531707,-0.3206404223178133,True
2023,6,0.0627081076712237,6.640952380952381,2023-06-30,-0.486,0.5,-0.243,0.0,0.2791337002642795,-0.017503946130839523,-0.0177830798311038,158096.8944682523,28698.664646759848,-0.2791337002642795,True
2023,7,0.04192445202412309,6.758,2023-07-31,-0.486,0.4352752816480621,-0.21154378688095818,0.0,0.0,0.0,0.0,158096.8944682523,29901.84043589933,0.0,False
2023,8,-0.10730293080201425,6.30304347826087,2023-08-31,-0.486,0.37892914162759955,-0.18415956283101337,0.0,0.0,-0.0,-0.0,158096.8944682523,26693.28532075315,0.0,False
2023,9,-0.07011614860187543,5.8695,2023-09-29,-0.486,0.3298769776932236,-0.16032021115890666,0.0,0.0,-0.0,-0.0,158096.8944682523,24821.654960530963,0.0,False
2023,10,0.016159802488359354,5.79,2023-10-31,-0.486,0.2871745887492588,-0.13956685013213976,0.0,0.0,0.0,0.0,158096.8944682523,25222.768002127348,0.0,False
2023,11,0.015902235187915226,5.681666666666667,2023-11-30,-0.486,0.25,-0.1215,0.0,0.0,0.0,0.0,158096.8944682523,25623.866390987398,0.0,False
2023,12,0.03825898916990611,5.912,2023-12-29,-0.486,0.21763764082403103,-0.10577189344047908,0.0,0.0,0.0,0.0,158096.8944682523,26604.209617731307,0.0,False
2024,1,-0.048577590205654664,5.742857142857143,2024-01-31,-0.919,1.0,-0.919,-0.919,0.919,-0.0,-0.0009190000000000001,157951.603422236,25311.84122517582,0.0,True
2024,2,-0.05105668634186211,5.4845,2024-02-29,-0.919,0.8705505632961241,-0.8000359676691381,-0.8000359676691381,0.11896403233086195,0.046921094748171285,0.046802130715840426,165344.07501238005,24019.502487007,-0.919,True
2024,3,0.0037097051830425887,5.2265,2024-03-28,-0.919,0.7578582832551991,-0.696471762311528,-0.696471762311528,0.10356420535761013,-0.0029678975758826946,-0.003071461781240305,164836.22700522502,24108.607759877155,-0.8000359676691381,True
2024,4,0.051756858106854375,5.461818181818182,2024-04-30,-0.919,0.6597539553864472,-0.606313885000145,-0.606313885000145,0.09015787731138292,-0.03604719017738856,-0.036137348054699946,158879.48289791367,25356.39355085893,-0.696471762311528,True
2024,5,0.1107204146701597,6.1827272727272735,2024-05-31,-0.919,0.5743491774985175,-0.5278268941211377,-0.5278268941211377,0.07848699087900735,-0.06713132476749158,-0.06720981175837058,148201.22276007762,28163.863959349794,-0.606313885000145,True
2024,6,-0.15981044727865312,5.6489473684210525,2024-06-28,-0.919,0.5,-0.4595,-0.4595,0.06832689412113768,0.0843522520352013,0.08428392514108017,160692.20352500456,23662.984262910966,-0.5278268941211377,True
